timestep,ch_00,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22
0,28.90625,,9.6015625,,54.0,54.0,3.6699219,63.0,77.0625,1105.0,134.375,,,,965.5,764.5,1030.0,942.5,11.796875,0.0,6.8515625,-0.010002136,843.5
1,28.90625,,9.6015625,,54.0,54.0,3.5195312,63.0,77.1875,1106.0,135.375,,,,964.5,753.5,1034.0,943.5,11.796875,0.0,-25.484375,0.0,843.5
2,28.90625,,9.6015625,,54.0,54.0,3.1699219,63.0625,77.0625,1119.0,136.5,,,,964.0,774.0,1036.0,946.0,11.796875,0.0,7.8515625,0.010002136,843.0
3,28.90625,,9.6015625,,54.0,54.0,3.0605469,63.0625,77.0625,1118.0,137.5,,,,968.0,821.0,1038.0,948.5,11.796875,0.0,-14.4609375,-0.0,842.5
4,28.90625,,9.6015625,,54.0,54.0,3.0292969,63.125,76.9375,1112.0,138.5,,,,978.0,860.0,1039.0,948.0,11.796875,0.0,-21.0,0.0,841.5
5,28.90625,,9.6015625,,54.0,54.0,2.7890625,63.125,76.875,1125.0,139.5,,,,981.5,896.5,1038.0,949.5,11.796875,0.0,-31.78125,0.020004272,842.0
6,28.90625,,9.6015625,,54.0,54.0,3.3496094,63.15625,77.0,1122.0,140.5,,,,982.0,893.0,1038.0,951.0,11.796875,0.0,-14.7265625,-0.010002136,843.0
7,28.90625,,9.5,,54.0,54.0,3.359375,63.1875,77.0,1126.0,141.5,,,,982.5,881.5,1038.0,951.0,11.796875,0.0,-7.3984375,-0.010002136,843.0
8,28.90625,,9.3984375,,54.0,54.0,3.0605469,63.25,77.0,1124.0,142.375,,,,982.5,900.0,1037.0,951.0,11.796875,0.0,-4.0390625,-0.020004272,843.0
9,28.90625,,9.3984375,,54.0,54.0,3.1503906,63.28125,76.9375,1117.0,143.375,,,,984.5,913.0,1037.0,951.5,11.796875,0.0,4.6289062,-0.0,843.0
